Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
49377.99634532887,3.133749,-499.94644,4459.538570697402,26.415907
49378.99634537636,3.1336703,-500.04495,4459.677453104324,26.281464
49379.99634542386,3.1336703,-499.98584,4459.816335171889,26.62944
49380.99634547136,3.1334734,-500.02524,4459.955217721107,26.384275
49381.99634551886,3.1333551,-499.96613,4460.094100762251,26.518719
49382.99634556635,3.1334341,-499.98584,4460.232984766564,26.384275
49383.99634561385,3.1331584,-499.96613,4460.371868300161,26.605715
49384.99634566135,3.1330795,-500.06464,4460.51075165879,26.384275
49385.99634570885,3.1329222,-499.92676,4460.649635028642,26.415907
49386.99634575634,3.1328826,-499.92676,4460.78851728223,26.526628
49387.99634580384,3.1328433,-500.00555,4460.927402227688,26.542444
49388.99634585134,3.1327646,-499.88736,4461.066284470425,26.487087
49389.99634589884,3.1326463,-500.00555,4461.205167993509,26.392181
49390.99634594633,3.132489,-499.92676,4461.344051604027,26.439632
49391.99634599383,3.1324494,-500.00555,4461.482935520637,26.605715
49392.99634604133,3.1322527,-499.98584,4461.621820641351,26.471268
49393.99634608882,3.1322527,-499.84796,4461.7607040002,26.605715
49394.99634613632,3.1319375,-499.98584,4461.899587775055,26.415907
49395.99634618382,3.1319375,-499.96613,4462.038470466265,26.581989
49396.99634623132,3.1319768,-499.96613,4462.177354098535,26.305189
49397.99634627881,3.1317406,-500.00555,4462.316237719852,26.597805
49398.99634632631,3.1316226,-499.98584,4462.45512057511,26.463358
49399.99634637381,3.1317012,-499.94644,4462.594003397613,26.534538
49400.99634642131,3.1314256,-499.80859,4462.732887522437,26.494993
49401.9963464688,3.1314256,-499.96613,4462.871771045182,26.35264
49402.9963465163,3.1313469,-500.02524,4463.010654809033,26.550354
49403.9963465638,3.131268,-499.96613,4463.149537314459,26.455452
49404.9963466113,3.1310711,-500.00555,4463.288421340846,26.400091
49405.99634665879,3.1309924,-500.02524,4463.427303419653,26.336821
49406.99634670629,3.1309137,-499.98584,4463.566187172382,26.621532
49407.99634675379,3.1307561,-500.02524,4463.705070563953,26.494993
49408.99634680129,3.1306775,-499.96613,4463.843952685705,26.439632
49409.99634684878,3.1305592,-499.98584,4463.982836471512,26.502903
49410.99634689628,3.1305199,-500.04495,4464.121717915315,26.35264
49411.99634694378,3.1303623,-499.96613,4464.26060121942,26.376366
49412.99634699128,3.1303229,-499.92676,4464.399482750843,26.431726
49413.99634703877,3.1302047,-499.94644,4464.538364807525,26.605715
49414.99634708627,3.130008,-499.96613,4464.677247466097,26.463358
49415.99634713377,3.1299684,-499.96613,4464.816130529418,26.400091
49416.99634718127,3.1298897,-499.98584,4464.955013264319,26.408001
49417.99634722876,3.1297715,-499.92676,4465.093895277021,26.534538
49418.99634727626,3.1296141,-499.98584,4465.232778472026,26.518719
49419.99634732376,3.1296928,-500.08429,4465.371661907542,26.581989
49420.99634737126,3.1294959,-500.02524,4465.510544193851,26.518719
49421.99634741875,3.1293385,-500.00555,4465.649427661852,26.35264
49422.99634746625,3.1292989,-499.98584,4465.788310998848,26.281464
49423.99634751375,3.1292202,-499.98584,4465.92719520022,26.415907
49424.99634756125,3.1292202,-499.96613,4466.066077935222,26.455452
49425.99634760874,3.1289446,-499.94644,4466.204961994348,26.502903
